#DGE	exludesample	sox2_nes:positive:negative
gene_name	baseMean	log2FoldChange	pvalue	padj	Significance	Geneid
ENSG00000287001	2102.84057637916	2.09156285078468	1.27894135154604e-07	0.00193810772413287	up	ENSG00000287001.4
CHI3L1	6387.90081224859	2.16290560317523	9.96858095277491e-07	0.00755319378791755	up	ENSG00000133048.14
CENPF	21977.6338206798	1.52026184399558	2.28913886350117e-06	0.0092425418640135	up	ENSG00000117724.16
5_8S_rRNA.4	520.356401770156	-5.57246252680654	2.43963095262333e-06	0.0092425418640135	down	ENSG00000277739.1
TOP2A	7594.61429857793	1.8770241388245	3.76096125095873e-06	0.0103976523972042	up	ENSG00000131747.16
ASPM	4592.75896760616	2.42222193443904	4.1167951948809e-06	0.0103976523972042	up	ENSG00000066279.20
IFI44L	829.3327338035	2.9088190785605	4.84808512903584e-06	0.0104954117207727	up	ENSG00000137959.18
MKI67	15045.4594196496	1.54812777429799	6.11410857957443e-06	0.0115816501768589	up	ENSG00000148773.15
AURKB	589.258284808447	5.20934223348822	2.32123191378619e-05	0.0390843871350176	up	ENSG00000178999.14
MT-ATP6	17440.9218098862	1.57199384758108	2.82964566328705e-05	0.0404287827966811	up	ENSG00000198899.2
COL23A1	417.125508308116	7.00579348171113	3.22827879761765e-05	0.0404287827966811	up	ENSG00000050767.18
CENPE	2208.72760215682	2.04967523215666	3.49102318638823e-05	0.0404287827966811	up	ENSG00000138778.15
BUB1	1294.26255692321	2.81926640927807	3.72687200011318e-05	0.0404287827966811	up	ENSG00000169679.16
MT-CO1	98591.8991268252	1.38024506434371	3.73500698926709e-05	0.0404287827966811	up	ENSG00000198804.2
NUF2	847.68046126452	3.91981364505513	4.45619268643743e-05	0.0443839532338432	up	ENSG00000143228.14
H3C2	899.615908026621	3.66715656890281	4.72762427499795e-05	0.0443839532338432	up	ENSG00000286522.2
IGF2	1836.47494812417	2.84425928423493	4.97906298650742e-05	0.0443839532338432	up	ENSG00000167244.22
DNAJB1	9559.32500074006	-1.35576370696531	5.63131113023128e-05	0.0452943302321291	down	ENSG00000132002.10
COL4A5	1796.81441300452	2.97280521864109	5.67897765877295e-05	0.0452943302321291	up	ENSG00000188153.15
MT-CYB	26485.4443064988	1.44479453149183	7.04775306864896e-05	0.0469419172167509	up	ENSG00000198727.2
MT-ND5	64139.3787009378	1.4122036867627	7.10463736008693e-05	0.0469419172167509	up	ENSG00000198786.2
MT-CO2	28954.3712769056	1.3544185215021	7.11480464622158e-05	0.0469419172167509	up	ENSG00000198712.1
MT-ND4	79894.8805902721	1.34444250845819	7.12461459670893e-05	0.0469419172167509	up	ENSG00000198886.2
ENSG00000288953	95.8466096340173	8.88112142090203	7.43786147186976e-05	0.0469638969769643	up	ENSG00000288953.1
MT-ND4L	6054.36212060021	1.86961045193932	7.99944019745197e-05	0.0484894067008749	up	ENSG00000212907.2
HSPA1A	7650.42142726151	-1.69127136750263	8.41571651168135e-05	0.0490506800069305	down	ENSG00000204389.11
PIF1	442.220126538067	4.90269338568452	9.32738155714215e-05	0.0523507926359008	not_sign	ENSG00000140451.14
LTF	304.570716433191	6.841459159342	0.00010232340937033	0.0553788909142137	not_sign	ENSG00000012223.14
KIF23	1227.63361988624	3.00001464963795	0.000154399055838877	0.075916192787889	not_sign	ENSG00000137807.17
ENSG00000298285	1467.63915775549	-1.84641724255979	0.000154672295406916	0.075916192787889	not_sign	ENSG00000298285.1
MT-ND2	31626.0117205749	1.29675997515127	0.000155299061397952	0.075916192787889	not_sign	ENSG00000198763.3
COL4A6	342.079434021413	4.42200267275979	0.000160651151922416	0.0760783611322593	not_sign	ENSG00000197565.18
VCAM1	2782.62545246379	2.65235576144447	0.000181674428997527	0.0834270999099554	not_sign	ENSG00000162692.13
SPP1	723.151701700858	4.2027906359757	0.000197863904256247	0.0881891060323284	not_sign	ENSG00000118785.16
RGS6	1695.56831298207	3.76916589100802	0.00021980497819393	0.092925808285616	not_sign	ENSG00000182732.18
ENSG00000290960	175.118636457591	7.1573594273683	0.000228768941844624	0.092925808285616	not_sign	ENSG00000290960.2
ENSG00000279294	94.9209156600597	8.26769792987335	0.000237688430972315	0.092925808285616	not_sign	ENSG00000279294.1
KIFC1	3090.25478559446	1.45016079284739	0.000239605030284414	0.092925808285616	not_sign	ENSG00000237649.9
PPP1R15A	27310.1629139306	-1.01399532853782	0.000239665772005569	0.092925808285616	not_sign	ENSG00000087074.10
H2AC21	587.770297611447	4.30720019915569	0.000246252589616083	0.092925808285616	not_sign	ENSG00000184270.6
KNL1	2411.0187402203	1.73090038770738	0.000251416004996057	0.092925808285616	not_sign	ENSG00000137812.21
ENSG00000289915	1418.05329651823	-1.87431814781791	0.000292739312297864	0.103597046218668	not_sign	ENSG00000289915.2
ENSG00000295105	7959.78112529958	-1.49675465938291	0.000293960207694517	0.103597046218668	not_sign	ENSG00000295105.1
STK17B	1592.08635185347	1.62547168397411	0.00032798427141572	0.112960764750769	not_sign	ENSG00000081320.13
SPTSSA	308.27074855814	4.80562094205288	0.000366052644912567	0.123270261800112	not_sign	ENSG00000165389.7
RYR2	730.799488744428	-2.5849100095994	0.000436075315953984	0.143658376912319	not_sign	ENSG00000198626.19
HOXB3	146.061254083844	7.06040368303179	0.000477432525532295	0.153690364650306	not_sign	ENSG00000120093.13
KIF2C	1642.27076623033	1.68858857235401	0.000494406948229067	0.153690364650306	not_sign	ENSG00000142945.14
CKAP2	3424.82602219254	1.40546487289541	0.000496953138964299	0.153690364650306	not_sign	ENSG00000136108.16
ABCC13	70.2149412692131	-8.15236868973391	0.000503179238575686	NA	not_sign	ENSG00000291052.2
MARCHF6-DT	223.413219411325	5.12202861686782	0.000559240779268316	0.167075267338885	not_sign	ENSG00000259802.4
MT-ND1	26523.9776767484	1.09964268431251	0.000562283135428478	0.167075267338885	not_sign	ENSG00000198888.2
NCAPD2	6468.34699211916	1.06810798387363	0.000603004154788831	0.17311448469888	not_sign	ENSG00000010292.14
SCRG1	153.835959611569	5.76666275783241	0.000605455172828339	0.17311448469888	not_sign	ENSG00000164106.9
MT-CO3	14010.9743702063	1.23675562268431	0.000648467047708089	0.18197906742534	not_sign	ENSG00000198938.2
AQP4	10663.0802213362	0.846095008303412	0.000683216067353973	0.18430030724461	not_sign	ENSG00000171885.19
ACAN	946.711646396395	1.94688625848744	0.000692546365791034	0.18430030724461	not_sign	ENSG00000157766.19
BEST3	18520.3385701893	1.1696738477175	0.000693224067107218	0.18430030724461	not_sign	ENSG00000127325.20
TPX2	4178.25054380421	1.20356829285989	0.000722334159855891	0.187025875183514	not_sign	ENSG00000088325.17
GSN	2388.31408005615	1.46712788531395	0.000728159339832872	0.187025875183514	not_sign	ENSG00000148180.23
CDK1	1153.05939754945	2.45454282030521	0.000774790957847443	0.195686369587003	not_sign	ENSG00000170312.18
SLFN11	188.259018305252	6.43629021623013	0.000799162991282295	0.198216177510978	not_sign	ENSG00000172716.18
CKAP2L	1262.34687885895	2.52408849667287	0.000810967599688571	0.198216177510978	not_sign	ENSG00000169607.14
XIST	10714.623554774	-0.893465694124751	0.000858277958752139	0.206449907729046	not_sign	ENSG00000229807.15
H2AC16	330.709803604784	4.47826964554011	0.00100506910744681	0.23798151959764	not_sign	ENSG00000276903.2
COL12A1	376.41989917854	4.43632535498925	0.00107583904038162	0.250819458737587	not_sign	ENSG00000111799.23
SNX10	575.070319299302	2.66699787125052	0.00110460140888687	0.253623178034418	not_sign	ENSG00000086300.18
DRG1P2	55.5222791742455	8.67183665847078	0.00111841187479893	NA	not_sign	ENSG00000240393.1
CDCA2	1178.95149474398	2.04574833905885	0.00116311267337359	0.2630717828702	not_sign	ENSG00000184661.15
CHRNA9	451.23977700772	3.83504655883146	0.00120277247268799	0.265163608238666	not_sign	ENSG00000174343.6
MST1	224.37727225309	4.66442286079473	0.00120735706536017	0.265163608238666	not_sign	ENSG00000173531.16
RAD54L	391.9319561605	4.22504333303547	0.00123926637946096	0.268283467347876	not_sign	ENSG00000085999.14
CDCA5	418.572347241217	4.17096442895591	0.00127700273413721	0.272559146945287	not_sign	ENSG00000146670.10
ENSG00000250615	66.7783516539519	8.04600391992242	0.00130620446338364	NA	not_sign	ENSG00000250615.1
EFEMP2	669.051897817238	3.30818725535395	0.00135862383062475	0.28595257679566	not_sign	ENSG00000172638.14
ENSG00000310476	685.489097315769	-2.19024589430061	0.00140125432584457	0.290885041833542	not_sign	ENSG00000310476.1
CHPT1	374.226026564249	4.2464223749269	0.00159054409849594	0.32183285038854	not_sign	ENSG00000111666.12
FOXM1	2486.24870068712	1.71336629270729	0.00160938545889875	0.32183285038854	not_sign	ENSG00000111206.14
ESCO2	248.462487523254	4.63777795581246	0.00162438133066829	0.32183285038854	not_sign	ENSG00000171320.15
MAPK15	67.1132048973124	7.87342778166374	0.00162700053159369	NA	not_sign	ENSG00000181085.16
DPYD	656.127510872917	3.55522493369618	0.00163528635871173	0.32183285038854	not_sign	ENSG00000188641.15
KIF20A	966.574891270759	1.94503822350102	0.00166816281644101	0.324094093850604	not_sign	ENSG00000112984.13
SNORD3B-2	539.875754592302	3.01116564400603	0.00173557081384649	0.332922026747212	not_sign	ENSG00000262074.7
IQCG	681.03056989328	3.44368469372106	0.00178846086810913	0.335126254780067	not_sign	ENSG00000114473.15
TROAP	752.703481006509	2.42732444631666	0.00179129118629968	0.335126254780067	not_sign	ENSG00000135451.14
SPAG5-AS1	45.4191717448292	8.84678179451998	0.00190473688652415	NA	not_sign	ENSG00000227543.6
KIF14	1517.69930663978	1.65462849905853	0.00193515293556216	0.345586192008913	not_sign	ENSG00000118193.13
GABBR2	719.207915254836	2.58535231036703	0.00193547672768797	0.345586192008913	not_sign	ENSG00000136928.8
MT-ATP8	7839.91540957479	1.08224317083022	0.00193640378966124	0.345586192008913	not_sign	ENSG00000228253.1
SMOC1	1206.61945227998	1.94097623309956	0.00193842063618567	0.345586192008913	not_sign	ENSG00000198732.12
IGFBP3	3317.01928872099	1.57047803808081	0.00199712229210504	0.351911525750696	not_sign	ENSG00000146674.17
PSD2-AS1	61.5021947027268	-7.37124522863243	0.00206294243785412	NA	not_sign	ENSG00000249131.3
ENSG00000261167	129.189590041936	5.27804999652183	0.00207455026990244	0.354073453649194	not_sign	ENSG00000261167.1
SGO2	1573.57322206114	1.45620000455474	0.0021079587580531	0.354073453649194	not_sign	ENSG00000163535.19
